ID,name,description - ORIGINAL,description_pt,description_es,description_en,website,city,placesOfOriginIds,placesOfOriginNames,incidencyReach,relatedHubsNames,parentHubNames,nature,,isSponsor,Observações,"(hubs) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,,,,,,,,,,,,,,,,,
4,#ElijoPy,"Plataforma de coalición de organizaciones de la sociedad civil que busca promover elecciones más participativas, inclusivas, transparentes, limpias, monitoreadas, legales y legítimas. Estos trabajos están enfocados en el control de plan de metas, debate de intendentables, observación electoral y monitoreo de cumplimiento de promesas, entre otros.","Plataforma de coalização de organizações da sociedade civil, que busca promover eleições mais participativas, inclusivas, transparentes, limpas, monitoradas, legais e legítimas. Esses trabalhos estão focados no controle de planos de metas, debates de candidatos, observação eleitoral e monitoração de cumprimento de promessas, entre outros.","Plataforma de coalición de organizaciones de la sociedad civil que busca promover elecciones más participativas, inclusivas, transparentes, limpias, monitoreadas, legales y legítimas. Estos trabajos están enfocados en el control de plan de metas, debate de intendentables, observación electoral y monitoreo de cumplimiento de promesas, entre otros.","Platform for coalition of civil society organizations, which seeks to make elections more participative, inclusive, transparent, clean, monitored, legal and legitimate. These projects are focused on the control of milestone planning, candidate debates, electoral observation and promise tracking, among others. ",http://www.elijopy.org/,,PY,Paraguai,National,,TEDIC; reAcción; Fundación CIRD; Red paraguaya por ciudades sustentables; Juventud Que se Mueve; Decidamos; Semillas para la democracia; Fundación Saraki,Constellations,,,,,,,,,,,,,,,,,,,,,,
41,Barrio de las Heroínas,"El Barrio de las Heroínas es una estrategia conjunta entre diversos colectivos, organizaciones e instituciones que comparten el deseo común de ejercer una comunicación abierta, libre y compartida a través de las posibilidades que la tecnología nos ofrece hoy.","El Barrio de las Heroínas (O Bairro das Heroínas) é uma estratégia conjunta de vários coletivos, organizações e instituições que compartilham o desejo comum de exercer uma comunicação aberta, livre e compartilhada por meio das possibilidades que a tecnologia nos oferece hoje.","El Barrio de las Heroínas es una estrategia conjunta entre diversos colectivos, organizaciones e instituciones que comparten el deseo común de ejercer una comunicación abierta, libre y compartida a través de las posibilidades que la tecnología nos ofrece hoy.","El Barrio de las Heroínas (Neighborhood of the Heroines) is a joint strategy of various collectives, organizations and institutions which share the common desire of exercising open, free and shared communication via the possibilities offered by today's technology.",http://barriodelasheroinas.org/,Villa Coronilla,BO,Bolívia,Local,,Kuska; mARTadero,Constellations,,,,,,,,,,,,,,,,,,,,,,
60,Chequeado,"Somos un medio digital no partidario y sin fines de lucro que se dedica a la verificación del discurso público y la promoción del acceso a la información y la apertura de datos. Chequeamos los dichos de políticos, economistas, empresarios, personas públicas, medios de comunicación y otras instituciones formadoras de opinión, y los clasificamos de “verdadero” a “falso” según su consistencia con los hechos y datos a los que se refieren.","Somos um meio digital não partidário e sem fins lucrativos que se dedica à verificação do discurso público e a promoção do acesso à informação e abertura de dados. Observamos discursos de políticos, economistas, empresários, pessoas públicas, meios de comunicação e outras instituições formadoras de opinião, e os classificamos como ""verdadeiros"" ou ""falsos"", de acordo com a sua consistência em relação aos fatos e dados a que se referem.","Somos un medio digital no partidario y sin fines de lucro que se dedica a la verificación del discurso público y la promoción del acceso a la información y la apertura de datos. Chequeamos los dichos de políticos, economistas, empresarios, personas públicas, medios de comunicación y otras instituciones formadoras de opinión, y los clasificamos de “verdadero” a “falso” según su consistencia con los hechos y datos a los que se refieren.","We are a digital nonpartisan and non-profit medium dedicated to fact checking in public discourse and promoting access to information and data opening. We watch speeches by politicians, economists, entrepreneurs, public personae, media and other opinion making institutions and sort them as ""true"" or ""false"", according to their consistency towards the facts and data that they refer to.",http://chequeado.com/,,AR,Argentina,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
113,Democracia Digital,"D&D Internacional ha diseñado e implementa el Programa sobre Democracia Digital que incluye varias líneas de acción, éstas son:    Premio Nacional sobre Democracia Digital.     Serie de Conversatorios en Lima y regiones del país.     Talleres Especializados.     I Encuentro Nacional sobre Democracia Digital. ","D&D Internacional desenvolveu e implementa o Programa sobre Democracia Digital que inclui várias linhas de ação, a saber: Prêmio Nacional de Democracia Digital, Série de Conversas em Lima e regiões do país, Oficinas Especializadas, I Encontro Nacional sobre Democracia Digital.","D&D Internacional ha diseñado e implementa el Programa sobre Democracia Digital que incluye varias líneas de acción, éstas son:    Premio Nacional sobre Democracia Digital.     Serie de Conversatorios en Lima y regiones del país.     Talleres Especializados.     I Encuentro Nacional sobre Democracia Digital. ","D&D Internacional (D&D International) develops and implements Programa sobre Democracia Digital (Digital Democracy Program) which includes many lines of action, such as: Prêmio Nacional de Democracia Digital (Digital Democracy National Awards), Conversations in Lima  and other regions, Specialized Workshops, I Encontro Nacional sobre Democracia Digital (First National Conference about Digital Democracy).",http://www.democraciadigital.pe/,,PE,Peru,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
128,El Instituto de Acceso a la Información Pública,"El Instituto de Acceso a la Información Pública (IAIP), es un órgano desconcentrado de la administración pública, con independencia operativa, decisional y presupuestaria, responsable de promover y facilitar el acceso de los ciudadanos a la información pública, así como de regular y supervisar los procedimientos de las instituciones obligadas en cuanto a la protección, clasificación y custodia de la información pública, de acuerdo a esta Ley. La presidencia de la República apoyará el funcionamiento de este Instituto y actuara como órgano de enlace la Secretaría de Estado en el Despacho de la Presidencia.","O Instituto de Acceso a la Información Pública (Instituto de Acesso à Informação Pública) (IAIP) é um órgão descentralizado da administração pública, com independência operacional, de decisão e orçamentária, responsável por promover e facilitar o acesso dos cidadãos à informação pública, bem como a regulação e monitoração dos procedimentos das instituições obrigadas quanto à proteção, classificação e custódia de informação pública, de acordo com esta Lei. A Presidência da República irá apoiar o funcionamento deste Instituto e agirá como órgão de ligação a Secretaria de Estado no Gabinete da Presidência.","El Instituto de Acceso a la Información Pública (IAIP), es un órgano desconcentrado de la administración pública, con independencia operativa, decisional y presupuestaria, responsable de promover y facilitar el acceso de los ciudadanos a la información pública, así como de regular y supervisar los procedimientos de las instituciones obligadas en cuanto a la protección, clasificación y custodia de la información pública, de acuerdo a esta Ley. La presidencia de la República apoyará el funcionamiento de este Instituto y actuara como órgano de enlace la Secretaría de Estado en el Despacho de la Presidencia.","Instituto de Acesso a la Información Pública (Public Information Access Institute) (IAIP) is a decentralized organ of public administration, with operational, decision and budget independence, responsible for promoting and facilitating citizen access to public information, as well as regulation and monitoring of obligated institutions in regard of protection, classification and custody of public information, according with Law. Republic Presidency supports this Institute operation and acts as a liaison body to State Secretary of Presidency's Office.",http://cei.iaip.gob.hn/,,HN,Honduras,National,,,Government,,,,,,,,,,,,,,,,,,,,,,
130,El Quinto Poder,"elquintopoder.cl es una comunidad orientada centralmente a estimular la participación ciudadana y la acción política. Es un espacio abierto de debate y construcción de ideas que se irán transformando en acciones concretas emprendidas por los usuarios, tanto en la propia Red como fuera de ella.elquintopoder.cl se propone como el espacio natural para la organización de grupos interesados en causas específicas, para desarrollarlas, difundirlas y contrastarlas con quienes piensen diferente o tengan propuestas alternativas.También se propone como el mecanismo para representar ante los actores políticos y la ciudadanía, nuevas propuestas y reflexiones para que sean incorporadas en la acción política cotidiana y contribuyan a la creación de nuevos idearios.","elquintopoder.cl é uma comunidade voltada principalmente para incentivar a participação dos cidadãos e a ação política. É um espaço aberto de debate e construção de ideias que se transformarão em ações concretas empreendidas pelos usuários, tanto na própria rede quanto fora. elquintopoder.cl é proposto como o espaço natural para a organização de grupos interessados em questões específicas, para desenvolvê-las, divulgá-las e compará-las com aqueles que pensam de forma diferente ou tenham propostas alternativas. Também é proposto como o mecanismo para apresentar face a atores políticos e cidadãos novas propostas e reflexões, para que estas sejam incorporadas à ação política cotidiana e contribuir para a criação de novos ideários.","elquintopoder.cl es una comunidad orientada centralmente a estimular la participación ciudadana y la acción política. Es un espacio abierto de debate y construcción de ideas que se irán transformando en acciones concretas emprendidas por los usuarios, tanto en la propia Red como fuera de ella.elquintopoder.cl se propone como el espacio natural para la organización de grupos interesados en causas específicas, para desarrollarlas, difundirlas y contrastarlas con quienes piensen diferente o tengan propuestas alternativas.También se propone como el mecanismo para representar ante los actores políticos y la ciudadanía, nuevas propuestas y reflexiones para que sean incorporadas en la acción política cotidiana y contribuyan a la creación de nuevos idearios.","elquintopoder.cl (thefifthpower.cl) is a community focused mainly in stimulating citizen participation and political action. It is as open space to debate and develop ideas that will be transformed in concrete action led by users, inside the network and outside. elquintopoder.cl is proposed as the natural space for organized groups interested in specific issues, to develop them, to promote and compare them with those who think differently or have alternate propositions. It is also suggested as the mechanism to present political actors and citizens new proposals and reflections, so these can be incorporated to daily political action and contribute to the creation of new ideas.",http://www.elquintopoder.cl/,,CL,Chile,National,Fundación Democracia y Desarrollo,,NGO,,,,,,,,,,,,,error,error,error,error,error,error,error,error,error,error
147,Evolucion Mexicana,"Somos un grupo de ciudadanos ocupados en trabajar para crear un nuevo sistema político mexicano, donde los ciudadanos participen activa y creativamente en la solución de los problemas colectivos que competen a las instituciones públicas.","Somos um grupo de cidadãos envolvidos em trabalhar para criar um novo sistema político mexicano, onde os cidadãos participam ativamente e de forma criativa na resolução de problemas coletivos que dizem respeito às instituições públicas.","Somos un grupo de ciudadanos ocupados en trabajar para crear un nuevo sistema político mexicano, donde los ciudadanos participen activa y creativamente en la solución de los problemas colectivos que competen a las instituciones públicas.","We are a group of citizens involved in working to develop a new political system for Mexico, in which citizens can actively and creatively participate in solving collective problems concerning public institutions.",http://www.evolucionmexicana.com/,,MX,México,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
149,Faccíon,"Facción es una plataforma que articula  – desde  Latinoamérica – redes independientes de mediactivismo a partir de  procesos participativos, horizontales y abiertos, con el objetivo de incentivar la comunicación libre, abierta y compartida por una transformación social y cultural.","Facción é uma plataforma que articula - a partir da América Latina - redes independentes de midiativismo a partir de processos participativos, horizontais e abertos, com o objetivo de incentivar a comunicação livre, aberta e comprometida com a transformação social e cultural.","Facción es una plataforma que articula  – desde  Latinoamérica – redes independientes de mediactivismo a partir de  procesos participativos, horizontales y abiertos, con el objetivo de incentivar la comunicación libre, abierta y compartida por una transformación social y cultural.","Facción (Faction) is a platform that articulates - from Latin America - independent networks of media activism making use of participative, horizontal, open processes, dedicated to incentivating free and open communication commited with social and cultural change.",http://faccionlatina.org/,,419,América Latina e Caribe,Regional,,,Constellations,,,,,,,,,,,,,,,,,,,,,,
154,Floripa te quero Bem,O Movimento Floripa Te Quero Bem surge para mobilizar diversos segmentos da sociedade para construir e se comprometer com uma agenda que contribua para tornar Florianópolis uma cidade mais solidária e sustentável.,O Movimento Floripa Te Quero Bem surge para mobilizar diversos segmentos da sociedade para construir e se comprometer com uma agenda que contribua para tornar Florianópolis uma cidade mais solidária e sustentável.,El movimiento Floripa Te Quero Bem (Floripa Te Quiero Bien) surge para movilizar diversos sectores de la sociedad para construir y comprometerse con una agenda que contribuya para tornar Florianópolis una ciudad más solidaria y sostenible.,"The movement Floripa Te Quero Bem (Floripa, I Want You Well) arises to mobilize multiple segments in society to build and commit with an agenda that contributes to making Florianópolis (in Brazil) a more solidary and sustainable city.","http://www.clicrbs.com.br/especial/sc/floripatequerobem/capa,0,0,0,0,Home.html",Florianópolis,BR,Brasil,Local,,,NGO,,,,,,,,,,,,,,,,,,,,,,
159,Fundacion Iguales,"Trabajar a través de la investigación, la difusión, la educación, el desarrollo de Políticas Públicas y la gestión legislativa, para conseguir la plena inclusión de la diversidad sexual en la sociedad chilena.","Trabalhar, a partir da investigação, da difusão e da educação, o desenvolvimento das Políticas Públicas e a gestão legislativa, para conseguir a plena inclusão da diversidade sexual na sociedade chilena.","Trabajar a través de la investigación, la difusión, la educación, el desarrollo de Políticas Públicas y la gestión legislativa, para conseguir la plena inclusión de la diversidad sexual en la sociedad chilena.","To work, starting from investigation, diffusion and education, towards the development of Public Policies and legislative management, to achieve full inclusion of sexual diversity in Chilean society.",http://www.iguales.cl/,,CL,Chile,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
