ID,name,Descrição,description_pt,description_es,description_en,website,city,placesOfOriginNames,incidencyReach,parentHub,technologyType,purpose,incidencyType,themes,secondaryThemes,mecanismos,isOpenLicense,notes,"(sinais) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,Quais?,Quais?,Coletiva (HUB),Conexão e Diálogo ,Sensibilização,Formação,Produção de Conhecimento,Levantamento e Visualização de Informação,Fomento,Fiscalização e Monitoramento,Disseminação,Mobilização e Pressão,Contribuição e Colaboração
1,¿A DÓNDE VAN NUESTROS IMPUESTOS?,"El presupuesto es una herramienta de planificación y ejecución económico-financiera que nos muestra de qué manera se asignan los recursos públicos. Para poder profundizar su entendimiento, existen diversos criterios de clasificación del mismo, uno de las cuales lo constituye el agrupamiento por finalidad y función, que conlleva examinar los gastos en base a la naturaleza de los servicios que prestan las instituciones públicas.  Recorré la visualización y conocé cómo es el presupuesto de nuestra Ciudad.","El Presupuesto (O Orçamento) é uma ferramenta de planejamento e execução econômico-financeira que nos mostra como são destinados os recursos públicos. Para poder aprofundar seu entendimento, existem diversos critérios de classificação, entre os quais o agrupamento por finalidade e função, que leva ao exame dos gastos com base no tipo de serviço prestados pelas instituições públicas. Vá à visualização e conheça como é o orçamento de nossa cidade.","El presupuesto es una herramienta de planificación y ejecución económico-financiera que nos muestra de qué manera se asignan los recursos públicos. Para poder profundizar su entendimiento, existen diversos criterios de clasificación del mismo, uno de las cuales lo constituye el agrupamiento por finalidad y función, que conlleva examinar los gastos en base a la naturaleza de los servicios que prestan las instituciones públicas.  Recorré la visualización y conocé cómo es el presupuesto de nuestra Ciudad.","El Presupuesto (The Budget) is a tool for economic-financial planning and execution, which shows us how public resources are distributed. In order to deepen your understanding, there are several classification criteria, among which the function to group data by finality or function, leading to examination of spending based on the kind of service provided by public institutions. Go to the visualization and get to know how our city's budget works. ",http://gcba.github.io/presupuesto-gcba/,Buenos Aires,Argentina,Local,Cidade de Buenos Aires,Digital,Empoderamento,,Governo 2.0,Transparência e Accountability,", Abertura de dados, Serviço digital",,,,,,,,,,,,"Banco de dados, Gráficos",,Indicadores,,,
2,#CódigoAbierto_CC,"Plataforma alrededor de la cultura libre, procesos abiertos y sociedad red. Innovación y desorden. Transversalidades. Cultura libre. Tecnopolítica. Copyleft. Procomún. #P2P.","Plataforma sobre cultura livre, processos abertos e sociedade em rede. Inovação e desordem. Transversalidades. Cultura livre. Tecnopolítica. Copyleft. Procomún.#P2P","Plataforma alrededor de la cultura libre, procesos abiertos y sociedad red. Innovación y desorden. Transversalidades. Cultura libre. Tecnopolítica. Copyleft. Procomún. #P2P.","Platform focused on free culture, open processes and connected society. Innovation and disorder. Transversalities. Free culture. Technopolitics. Copyleft. Procomún. #P2P",http://codigo-abierto.cc,,América Latina e Caribe,Internacional,,Digital,Empoderamento,,Comunicação Independente,,", Pesquisa, Estudos, Análise de dados, Artigos, Grafos de rede",TRUE,,Outros,,,,,,,,"Pesquisa, Análise de Dados",Grafos de Rede,,,Portal de Notícias/Blog,,
3,#datapoa,O #DataPoA é o portal de dados abertos de Porto Alegre e tem como objetivo convidar a comunidade a participar do desenvolvimento de soluções inteligentes para a nossa cidade.,O #DataPoA é o portal de dados abertos de Porto Alegre e tem como objetivo convidar a comunidade a participar do desenvolvimento de soluções inteligentes para a nossa cidade.,El #DataPoA es el portal de datos abiertos de Porto Alegre y tiene como objetivo invitar a la comunidad a participar en el desarrollo de soluciones inteligentes para nuestra ciudad.,#DataPoA is the open data portal of the city of Porto Alegre and aims to invite the community to participate in the development of intelligent solutions for our city.,http://www.datapoa.com.br,Porto Alegre,Brasil,Local,Prefeitura de Porto Alegre; POA#Digital,Digital,Empoderamento,,Governo 2.0,Transparência e Accountability,", Banco de dados, Repositório, Serviço digital",,,Sinais,,,,,,,,,Banco de dados,,,,,
5,#GabineteAberto,"O #GabineteAberto é um programa semanal, ao vivo, transmitido pela internet e pela Rede SP Saudável, em que secretários da gestão pública são convidados a falar sobre os temas de suas respectivas pastas. Mas não se trata de uma fala hierarquizada: jornalistas e blogueiros da mídia independente, especialistas e ativistas são chamados para entrevistar as autoridades e trazer à tona as demandas da sociedade em relação às políticas públicas envolvidas.","O #GabineteAberto é um programa semanal, ao vivo, transmitido pela internet e pela Rede SP Saudável, em que secretários da gestão pública são convidados a falar sobre os temas de suas respectivas pastas. Mas não se trata de uma fala hierarquizada: jornalistas e blogueiros da mídia independente, especialistas e ativistas são chamados para entrevistar as autoridades e trazer à tona as demandas da sociedade em relação às políticas públicas envolvidas.","El #GabineteAberto (#Gabinete Abierto) es un programa semanal, en vivo, transmitido por internet y por la Rede SP Saudável (Red SP Saludable), en que secretários de la gestión pública son invitados a hablar sobre los temas de sus respectivas demandas. Pero no se trata de un habla jerarquizada: periodistas y blogueros de medios independiente, especialistas y activistas son seleccionados para entrevistar a las autoridades y traer al público las demandas de la sociedad en relación a las políticas públicas envueltas.","#GabineteAberto (#OpenOffice) is a weekly live show, broadcast over the internet and by Rede SP Saudável (Healthy São Paulo Network) in which public management secretaries are invited to talk about the themes of their respective work. But it is not a hierarchic speech: journalists and independent bloggers, specialists and activists are called to interview these authorities and bring up society's demands in relation to the public policies being developed. ",http://saopauloaberta.prefeitura.sp.gov.br/index.php/conheca-o-gabineteaberto/,São Paulo,Brasil,Local,São Paulo Aberta,Social,Empoderamento,,Governo 2.0,Transparência e Accountability,"Debate, Mediação / Facilitação, Entrevista, Mandato interativo",,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,,,,,,Transmissão,,Mandado Interativo
6,#GolPolítico,Una aplicación de Twitter que detecta cuándo tuiteas algo relacionado con el Mundial y acompaña inmediatamente ese tuit con otro relacionado con la discusión en el Senado sobre la reforma energética y otras más que se están desarrollando ahí mismo,"Um aplicativo de Twitter que detecta quando é escrita uma mensagem relacionada ao Mundial e acompanha imediatamente esse tweet com outro, relacionado à discussão no Senado a respeito da reforma energética e outras que estejam acontecendo ali.",Una aplicación de Twitter que detecta cuándo tuiteas algo relacionado con el Mundial y acompaña inmediatamente ese tuit con otro relacionado con la discusión en el Senado sobre la reforma energética y otras más que se están desarrollando ahí mismo,"A Twitter app which detects when a message relating to the Mundial (FIFA World Cup) is written and immediately follows this tweet with a new one, relating to the discussion in the Senate about the energy reform and others that are being carried out there.",http://golpolitico.com/,,México,Nacional,Flock Mexico; Animal Político; Éramos Tantos,Digital,Empoderamento,,Comunicação Independente,,", Ativismo digital",,Buscar Hubs:- Flock Mexico - http://flock.mx/sobre-flock/- Eramos Tanto - http://eramostantos.com.mx/- Animal Político - http://www.animalpolitico.com/,,,,,,,Campanha de Sensibilização,,,,,,Transmissão,,
7,#Internetlibreve.org,"Por un internet libre de censura y bloqueos en Venezuela. Demandamos inmediato cese de acciones del gobierno de la República Bolivariana de Venezuela contra los ddhh, y en especial contra la libertad de expresión, en la forma de control de contenidos, bloqueo de sitios web,  degradación deliberada del servicio, impedimento de acceso a Internet o cualquier acto que violente el ejercicios de los derechos en línea.","Por uma internet livre de censura e bloqueios na Venezuela. Demandamos o fim imediato das ações de governo da República Bolivariana da Venezuela contra os direitos humanos,especialmente contra a liberdade de expressão, sob a forma de controle de conteúdos, bloqueio de sites, degradação deliberada do serviço, impedimento do acesso à internet e qualquer ato que fira o exercício dos direitos online.","Por un internet libre de censura y bloqueos en Venezuela. Demandamos inmediato cese de acciones del gobierno de la República Bolivariana de Venezuela contra los ddhh, y en especial contra la libertad de expresión, en la forma de control de contenidos, bloqueo de sitios web,  degradación deliberada del servicio, impedimento de acceso a Internet o cualquier acto que violente el ejercicios de los derechos en línea.","For a censorship-free and block-free internet in Venezuela. We demand the immediate end of the government actions carried out by the Bolivarian Reupublic of Venezuela against human rights, specially against freedom of speech, in the form of content control, site blocking, deliberate degradation of service, obstruction of access to the internet and any other act which might harm the exercise of online rights.",http://internetlibreve.org/,,Venezuela,Nacional,Venezuela Inteligente; Espacio Público,Digital,Incidência,Não Específicado,Participação Cidadã,,", Ativismo digital, Abaixo-assinado, Campanha",,hub Espacio público http://espaciopublico.org/index.php/programas,Hubs,,,,,,,,,,,,,"Abaixo-assinado, Campanha de Mobilização",
8,#JusticiaYa,"Plataforma ciudadana permanente y abierta para informarnos, expresarnos y organizarnos. Somos los jóvenes detrás del evento de #RenunciaYa del #25A y #16M","Plataforma cidadã permanente e aberta para nos informarmos, expressarmos e organizarmos. Somos os jovens por trás dos eventos #RenunciaYa de #25A e #16M.","Plataforma ciudadana permanente y abierta para informarnos, expresarnos y organizarnos. Somos los jóvenes detrás del evento de #RenunciaYa del #25A y #16M","Permanent and open citizen platform for information, expression and organization. We are the young people behind the events of #RenunciaYa (#RenouncementNow) on #25A and #16M.",https://twitter.com/justiciayagt,,Guatemala,Nacional,,Digital,Incidência,,Participação Cidadã,Controle Social,", Ativismo digital, Campanha, Manifestação, Monitoramento",,Olhar https://twitter.com/justiciayagt e https://www.facebook.com/events/1480672592239942/ para encontrar outras hashtags (sinais) que estão sendo usadas para mobilizar a sociedade guatemalteca.,Sinais,,,,,,,,,,,,Transmissão,Campanha de Mobilização,
9,#LABiCBR - Laboratório Ibero-Americano de Inovação Cidadã / Brasil,"Laboratório de duas semanas, de 15 a 29 de novembro de 2015, para desenvolvimento de projetos selecionados de forma colaborativa com a ajuda de mentores, mediadores e assistentes técnicos, para além de um grupo de 100 colaboradores.","Laboratório de duas semanas, de 15 a 29 de novembro de 2015, para desenvolvimento de projetos selecionados de forma colaborativa com a ajuda de mentores, mediadores e assistentes técnicos, para além de um grupo de 100 colaboradores.","Laboratorio de dos semanas, de 15 a 29 de noviembre de 2015, para el desarrollo de proyectos seleccionados colaborativavamente con la ayuda de mentores, mediadores y asistentes técnicos, que va más allá de un grupo de 100 colaboradores.","Two week-long laboratory, from November 15th to 29th 2015, for developing projects selected collaboratively with the help of mentors, mediators and technical assistants, besides over 100 collaborators. ",http://www.ciudadania20.org/pt-pt/labicbr/,,Brasil,Regional,Inovação Cidadã da Secretaria-Geral Ibero-Americana (SEGIB); Ministério da Cultura do Brasil; Medialab-Prado,Social,Empoderamento,,Cultura Política,,", Hackaton, Laboratório",,"1. Avaliar método ""laboratório""2. Apoiadores: - Agência Espanhola de Cooperação Internacional para o Desenvolvimento (AECID)- Fundación Unidos en Red, - ","Hubs, Financiadores",,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,,,,Aceleração e Incubação,,,,Co-criação
10,#Lima Quiere Cultura,"Lima Quiere Cultura"" es una plataforma ciudadana abierta que busca supervisar la continuidad de las políticas culturales de Lima","Lima Quiere Cultura (Lima Quer Cultura) é uma plataforma aberta de cidadania, que busca observar a continuidade das políticas culturais em Lima. ","Lima Quiere Cultura"" es una plataforma ciudadana abierta que busca supervisar la continuidad de las políticas culturales de Lima","Lima Quiere Cultura (Lima Wants Culture) is an open citizenship platform, which aims to observe the continuity of the cultural policies in Lima, Peru. ",https://www.facebook.com/limaquierecultura/info?tab=page_info,Lima,Peru,Local,,Social,Incidência,,Controle Social,Participação Cidadã,"Debate político, Campanha, Manifestação, Infoativismo",,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,,,,,Indicadores,,"Protesto, Campanha de Mobilização",
11,#SeFecharAGenteOcupa,Série de informações mapeadas colaborativamente sobre a intenção que o Governo do Estado de São Paulo tem em fechar 95 escolas sob sua responsabilidade.,Série de informações mapeadas colaborativamente sobre a intenção que o Governo do Estado de São Paulo tem em fechar 95 escolas sob sua responsabilidade.,Serie de informaciones mapeadas colaborativamente sobre la intención que el Gobierno del Estado de São Paulo tiene para cerrar 95 escuelas bajo su responsabilidad.,Series of collaboratively mapped information about the intentions of the Government of the State of São Paulo of closing 95 schools that are under its responsibility.,https://www.google.com/maps/d/u/1/edit?actionButton=1&authuser=1&mid=zBp5Xxw6d19Q.kAAtE2nnXItg,São Paulo,Brasil,Local,,Digital,Empoderamento,,Transparência e Accountability,Comunicação Independente,", Georrefenciamento, Crowdsourcing, Cobertura Colaborativa",,,,,,,,,,,,Georeferenciamento,,,Cobertura Colaborativa,,
